"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"22460","56.095290","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"22499","56.195932","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"22523","56.300383","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"22553","56.403575","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"22576","56.506234","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"22577","56.506238","Commscope_23:24:6c","52:f8:b1:44:46:c1","802.11","387","-36 dBm","6"
"22614","56.604408","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"22652","56.710792","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"22691","56.808540","Commscope_23:24:6c","Broadcast","802.11","287","-39 dBm","6.5"
"22730","56.914394","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"22792","57.114868","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"22823","57.221711","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"22902","57.424743","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"22930","57.527210","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"22961","57.628988","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"22997","57.719263","Commscope_23:24:6c","VantivaUSA_f4:90:cd","802.11","387","-35 dBm","6"
"22998","57.719593","Commscope_23:24:6c","VantivaUSA_f4:90:cd","802.11","387","-34 dBm","6"
"22999","57.719597","Commscope_23:24:6c","VantivaUSA_f4:90:cd","802.11","387","-33 dBm","6"
"23000","57.719600","Commscope_23:24:6c","VantivaUSA_f4:90:cd","802.11","387","-34 dBm","6"
"23003","57.731982","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"23054","57.938346","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"23075","58.039181","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"23088","58.075580","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-33 dBm","6"
