"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"431","1.883678","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2788, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"457","1.986071","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2792, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"482","2.088481","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=2796, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"498","2.190917","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2800, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"519","2.293370","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2804, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"532","2.395672","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2808, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"558","2.498082","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=2812, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"576","2.600341","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2818, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"596","2.702869","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2825, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"635","2.907711","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=2831, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
