"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"998","4.544833","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=1451, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1020","4.647379","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=1455, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1042","4.749613","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=1459, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1065","4.852066","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=1464, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1081","4.954417","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1468, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1103","5.056785","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1472, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1131","5.159232","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=1476, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1153","5.261600","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=1480, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1173","5.363998","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-11 dBm","Beacon frame, SN=1484, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1211","5.466408","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-11 dBm","Beacon frame, SN=1491, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1240","5.568883","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-10 dBm","Beacon frame, SN=1496, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1261","5.671414","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-9 dBm","Beacon frame, SN=1500, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"1284","5.773630","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-10 dBm","Beacon frame, SN=1504, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
