"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"5944","16.215530","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-24 dBm"
"5945","16.215536","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5946","16.215539","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-22 dBm"
"5947","16.215542","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-24 dBm"
"5955","16.222633","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-25 dBm"
"5956","16.222639","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-24 dBm"
"5957","16.222643","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-24 dBm"
"5958","16.222646","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-24 dBm"
"5997","16.313237","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"6032","16.417143","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"6055","16.518074","Commscope_23:24:6c","Broadcast","802.11","287","-20 dBm"
"6084","16.625395","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"6127","16.722539","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"6159","16.827125","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6219","17.033833","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6254","17.138118","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"6331","17.443870","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6366","17.544854","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"6398","17.648558","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6464","17.842688","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-25 dBm"
"6465","17.842692","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-24 dBm"
"6466","17.842698","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-24 dBm"
"6467","17.844259","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-25 dBm"
"6473","17.849902","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6499","17.961420","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6534","18.055025","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm"
"6571","18.157289","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm"
"6575","18.166682","Commscope_23:24:6c","7a:f7:80:29:b5:7c","802.11","387","-34 dBm"
"6586","18.190517","Commscope_23:24:6c","7a:f7:80:29:b5:7c","802.11","387","-33 dBm"
"6600","18.263833","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"6639","18.361776","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"6694","18.464011","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"6725","18.565833","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"6755","18.673253","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6792","18.775253","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"6841","18.877143","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"6863","18.982157","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"6885","19.080303","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"6924","19.181368","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"6951","19.283339","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"6982","19.385148","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7025","19.489419","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"7032","19.515242","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"7033","19.515246","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"7034","19.515249","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"7035","19.516544","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"7045","19.542690","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"7046","19.542694","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-27 dBm"
"7047","19.542698","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"7048","19.542702","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"7056","19.558750","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"7057","19.558754","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"7058","19.558758","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"7071","19.585429","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"7072","19.586678","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-25 dBm"
"7074","19.588188","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"7075","19.588192","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-26 dBm"
"7076","19.590866","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7104","19.694341","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"7130","19.797040","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"7157","19.897252","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7176","19.999331","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
