"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"8934","30.722134","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-23 dBm"
"8935","30.725265","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-25 dBm"
"8936","30.725273","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-25 dBm"
"8937","30.725440","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-23 dBm"
"8938","30.726621","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-25 dBm"
"8939","30.728250","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-24 dBm"
"8940","30.729986","Commscope_23:24:6c","8e:d3:b1:84:b5:65","802.11","387","-25 dBm"
"8954","30.773879","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"9020","30.876737","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"9069","30.995321","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"9107","31.081429","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"9213","31.293568","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"9239","31.391681","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"9274","31.491019","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"9320","31.600814","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"9382","31.700329","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"9456","31.803925","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"9519","31.900857","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"9567","32.005019","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"9597","32.112035","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"9628","32.208998","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"9631","32.213070","Commscope_23:24:6c","VantivaUSA_48:68:c1","802.11","387","-22 dBm"
"9632","32.214115","Commscope_23:24:6c","VantivaUSA_48:68:c1","802.11","387","-22 dBm"
"9633","32.215540","Commscope_23:24:6c","VantivaUSA_48:68:c1","802.11","387","-23 dBm"
"9634","32.215544","Commscope_23:24:6c","VantivaUSA_48:68:c1","802.11","387","-22 dBm"
"9659","32.286121","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-24 dBm"
"9667","32.311396","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"9695","32.413899","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"9721","32.516256","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
