"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"7609","19.546855","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"7647","19.651529","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"7686","19.752302","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"7707","19.830713","Commscope_23:24:6c","26:4d:2a:4d:b1:26","802.11","387","-27 dBm"
"7710","19.836793","Commscope_23:24:6c","26:4d:2a:4d:b1:26","802.11","387","-27 dBm"
"7712","19.836801","Commscope_23:24:6c","26:4d:2a:4d:b1:26","802.11","387","-27 dBm"
"7727","19.858888","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"7765","19.959012","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7796","20.060473","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7837","20.164511","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7842","20.176187","Commscope_23:24:6c","VantivaUSA_48:68:c1","802.11","387","-26 dBm"
"7843","20.177352","Commscope_23:24:6c","VantivaUSA_48:68:c1","802.11","387","-26 dBm"
"7844","20.185956","Commscope_23:24:6c","VantivaUSA_48:68:c1","802.11","387","-26 dBm"
"7875","20.269872","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"7923","20.372487","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"7959","20.469974","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7999","20.573429","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"8036","20.674234","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8067","20.778070","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8109","20.880514","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"8138","20.985508","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8174","21.082554","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8198","21.193161","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"8257","21.292860","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"8296","21.391441","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8329","21.503263","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8367","21.596697","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"8392","21.714056","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8417","21.801284","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"8464","21.909063","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"8495","22.006053","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8533","22.108460","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8568","22.211490","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8602","22.318284","Commscope_23:24:6c","Broadcast","802.11","287","-29 dBm"
"8641","22.417064","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8659","22.480454","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-28 dBm"
"8660","22.480472","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-29 dBm"
"8661","22.480476","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-30 dBm"
"8662","22.481170","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-27 dBm"
"8666","22.490119","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-29 dBm"
"8667","22.490124","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-30 dBm"
"8669","22.490132","Commscope_23:24:6c","VantivaUSA_da:dd:a1","802.11","387","-29 dBm"
"8682","22.522905","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"8723","22.621439","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"8738","22.673099","Commscope_23:24:6c","5a:1a:76:8d:b3:de","802.11","387","-30 dBm"
"8739","22.673148","Commscope_23:24:6c","5a:1a:76:8d:b3:de","802.11","387","-30 dBm"
"8740","22.673785","Commscope_23:24:6c","5a:1a:76:8d:b3:de","802.11","387","-29 dBm"
"8741","22.673789","Commscope_23:24:6c","5a:1a:76:8d:b3:de","802.11","387","-27 dBm"
"8753","22.721282","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
