"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"10572","43.937453","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3834, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10598","44.039826","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3838, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10633","44.142173","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3843, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10674","44.244803","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3847, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10699","44.347079","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3855, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10723","44.449337","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3862, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10737","44.551826","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3866, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10754","44.624846","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","0 dBm","Probe Response, SN=3870, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10755","44.625527","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","0 dBm","Probe Response, SN=3870, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10756","44.627386","1e:9d:72:6d:c4:11","Sonos_9d:d8:ec","802.11","516","0 dBm","Probe Response, SN=3870, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10766","44.654133","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3871, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10780","44.756559","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3875, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10801","44.858943","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3879, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10823","44.964282","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3883, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10848","45.063922","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-30 dBm","Beacon frame, SN=3888, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10868","45.166140","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3892, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10890","45.268556","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3896, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10910","45.370994","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3900, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10927","45.473545","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=3904, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10949","45.575862","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3908, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10969","45.678206","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-28 dBm","Beacon frame, SN=3912, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10991","45.780544","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-27 dBm","Beacon frame, SN=3916, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11012","45.825281","1e:9d:72:6d:c4:11","0a:42:41:a5:18:c0","802.11","516","-29 dBm","Probe Response, SN=3924, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11017","45.845168","1e:9d:72:6d:c4:11","0a:42:41:a5:18:c0","802.11","516","-28 dBm","Probe Response, SN=3925, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"11023","45.882943","1e:9d:72:6d:c4:11","Broadcast","802.11","409","-28 dBm","Beacon frame, SN=3926, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
