"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"28622","94.230664","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=2527, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28654","94.333135","1e:9d:72:6d:c4:11","Broadcast","802.11","408","0 dBm","Beacon frame, SN=2531, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28677","94.435428","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=2535, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28699","94.537737","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=2539, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28715","94.640246","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=2543, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28724","94.668549","1e:9d:72:6d:c4:11","ae:8d:dc:11:f6:78","802.11","516","-27 dBm","Probe Response, SN=2547, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28725","94.672350","1e:9d:72:6d:c4:11","ae:8d:dc:11:f6:78","802.11","516","-27 dBm","Probe Response, SN=2547, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28730","94.686601","1e:9d:72:6d:c4:11","ae:8d:dc:11:f6:78","802.11","516","-27 dBm","Probe Response, SN=2548, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28731","94.689269","1e:9d:72:6d:c4:11","ae:8d:dc:11:f6:78","802.11","516","-27 dBm","Probe Response, SN=2548, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28732","94.691857","1e:9d:72:6d:c4:11","ae:8d:dc:11:f6:78","802.11","516","-27 dBm","Probe Response, SN=2548, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28744","94.742592","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2549, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28767","94.844967","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28790","94.947363","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=2557, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28796","94.957046","1e:9d:72:6d:c4:11","VantivaUSA_c6:bc:f0","802.11","516","-29 dBm","Probe Response, SN=2561, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28806","94.982441","1e:9d:72:6d:c4:11","VantivaUSA_c6:bc:f0","802.11","516","-28 dBm","Probe Response, SN=2562, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28807","94.983079","1e:9d:72:6d:c4:11","VantivaUSA_c6:bc:f0","802.11","516","0 dBm","Probe Response, SN=2562, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28808","94.983865","1e:9d:72:6d:c4:11","VantivaUSA_c6:bc:f0","802.11","516","0 dBm","Probe Response, SN=2562, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28809","94.984488","1e:9d:72:6d:c4:11","VantivaUSA_c6:bc:f0","802.11","516","0 dBm","Probe Response, SN=2562, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28822","95.049805","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2563, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28843","95.152170","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2567, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
